grid points,0.1u,0.1N,0.2u,0.2N,0.3u,0.3N,0.4u,0.4N,0.5u,0.5N,0.6u,0.6N,0.7u,0.7N,0.8u,0.8N,0.9u,0.9N,1u,1N
0.0,0.14797713,4.8566804,0.14620812,4.8583274,0.14717889,4.85734,0.14511779,4.8596845,0.14487483,4.8595047,0.14569864,4.8595552,0.1455661,4.8597293,0.14608172,4.8596544,0.1459403,4.860327,0.14506507,4.856958
0.0101010101010101,0.19890131,3.981964,0.19952023,3.9785855,0.19893363,3.9814792,0.20129457,3.975225,0.20122285,3.97632,0.20071095,3.975152,0.20064543,3.9748845,0.19979967,3.9748492,0.2000823,3.9747736,0.19907653,3.9808311
0.0202020202020202,0.25769824,3.3295813,0.25983015,3.3274684,0.25866324,3.3271408,0.26104596,3.3284864,0.26126587,3.327521,0.25975272,3.3298602,0.26028013,3.3293157,0.25978112,3.3296514,0.26008785,3.3273995,0.26113784,3.3300838
0.0303030303030303,0.32306492,2.8368602,0.3250277,2.8396058,0.32404828,2.8370903,0.32462162,2.8416412,0.32508337,2.8404236,0.32404417,2.8414507,0.32451162,2.8416278,0.32462138,2.8419514,0.32466698,2.8407536,0.32712603,2.8386211
0.0404040404040404,0.3928877,2.4566164,0.393494,2.4610875,0.393126,2.4589496,0.3918962,2.4619083,0.39238906,2.4615571,0.39254606,2.4603682,0.39252585,2.4610536,0.39300138,2.460966,0.39276916,2.461878,0.39518726,2.457604
0.0505050505050505,0.46524513,2.1554756,0.464235,2.1575592,0.46459672,2.1570868,0.46238106,2.1570277,0.46267483,2.157606,0.4639058,2.1555352,0.463408,2.156193,0.46394104,2.1556668,0.46355474,2.1579669,0.46483338,2.1541533
0.0606060606060606,0.5387347,1.9103441,0.53666687,1.9084108,0.53765225,1.909617,0.53536505,1.9072711,0.53531885,1.9083788,0.5370759,1.9067771,0.53634953,1.907078,0.5367408,1.9063848,0.53633535,1.908826,0.53606033,1.9068195
0.0707070707070707,0.6124493,1.705272,0.61040276,1.7008723,0.6117618,1.7031307,0.6100737,1.6998667,0.609672,1.7010434,0.6113555,1.7005378,0.61068493,1.700417,0.610863,1.6998974,0.6105358,1.7014872,0.6088711,1.7015511
0.0808080808080808,0.685853,1.5291471,0.6851224,1.526374,0.68654,1.5288968,0.6857943,1.5258963,0.6851223,1.5267913,0.6862892,1.52737,0.6858777,1.5269246,0.6858617,1.5268049,0.6856615,1.5270811,0.6831019,1.5288364
0.0909090909090909,0.7586464,1.3741524,0.7605154,1.378644,0.7616788,1.3807275,0.7619367,1.3787237,0.76113445,1.3791428,0.7615599,1.3804525,0.7614984,1.3798399,0.7613486,1.3801675,0.76129526,1.3791605,0.7584404,1.3819772
0.101010101010101,0.83066833,1.2347283,0.83626944,1.2527848,0.8369224,1.2539179,0.83804846,1.2532125,0.8372677,1.2531066,0.8369257,1.2547044,0.83720523,1.2540772,0.8369876,1.2547505,0.83708346,1.2528116,0.83445966,1.2560397
0.1111111111111111,0.90183055,1.1068826,0.9120759,1.1448343,0.9120543,1.1447439,0.91380346,1.1453081,0.91317487,1.144741,0.9121821,1.1462454,0.91272664,1.1457136,0.9124949,1.1465545,0.9127342,1.1441687,0.9107182,1.1472632
0.1212121212121212,0.97207904,0.98772746,0.9876409,1.0515449,0.98689353,1.0502017,0.9889755,1.0518005,0.98859364,1.0509021,0.9871481,1.0520499,0.9878474,1.0516882,0.98763585,1.0525017,0.9880084,1.0501472,0.9868053,1.0527068
0.1313131313131313,1.0413747,0.8751605,1.0626935,0.9702546,1.0612891,0.96785015,1.0634149,0.9701408,1.0633321,0.9690675,1.0616605,0.96972585,1.0623983,0.969564,1.0622244,0.9701958,1.0627153,0.96824944,1.0623817,0.9700352
0.1414141414141414,1.1096815,0.76763636,1.1369923,0.8987879,1.1351142,0.8957055,1.137027,0.89830804,1.1372569,0.89721483,1.1355762,0.8973588,1.1362485,0.89739686,1.136116,0.89774776,1.136704,0.8964523,1.1371698,0.8973595
0.1515151515151515,1.1769631,0.6640156,1.2103273,0.83537453,1.2082641,0.83214706,1.2097545,0.8346987,1.2102754,0.83372253,1.2087693,0.8333976,1.2092974,0.83361465,1.2092025,0.8336488,1.2098596,0.8331109,1.2109804,0.83313954
0.1616161616161616,1.2431828,0.563443,1.282519,0.7785781,1.2806492,0.7758501,1.2815657,0.7780378,1.2823303,0.77728075,1.281137,0.7765831,1.281469,0.77694064,1.2814038,0.7766745,1.2820965,0.77689016,1.2836831,0.7761184
0.1717171717171717,1.3083043,0.4652775,1.353417,0.72723526,1.3521934,0.7257201,1.3524449,0.7273051,1.3533864,0.72683185,1.3525956,0.72587943,1.3527087,0.72633487,1.3526653,0.7258228,1.3533542,0.726699,1.355209,0.72526133
0.1818181818181818,1.3722926,0.36902672,1.4228996,0.68040276,1.4228307,0.68084985,1.4223874,0.68167746,1.4234273,0.6815178,1.4230809,0.6804299,1.4229771,0.68093663,1.4229485,0.68025434,1.423595,0.68164647,1.4255269,0.67970955
0.1919191919191919,1.4351164,0.27430707,1.4908668,0.63731426,1.4925032,0.6404827,1.4913933,0.6404854,1.492449,0.64063495,1.4925497,0.639523,1.4922487,0.64003974,1.492231,0.6392685,1.4927933,0.641008,1.4946415,0.6387421
0.202020202020202,1.496749,0.1808129,1.5572435,0.5973436,1.5611594,0.60397965,1.5594673,0.6031768,1.5604553,0.6036069,1.5609725,0.60256296,1.5605099,0.60305244,1.5605003,0.6022724,1.5609404,0.6041833,1.5625757,0.6017662
0.2121212121212121,1.5571681,0.088297665,1.6219723,0.5599816,1.6287543,0.57080036,1.626614,0.56929034,1.6274576,0.5699529,1.6283345,0.5690502,1.6277547,0.5694788,1.6277528,0.5687593,1.6280371,0.57068074,1.629377,0.5682775
0.2222222222222222,1.6163584,-0.0034427047,1.6850139,0.5248062,1.6952478,0.54048485,1.6928382,0.5384384,1.69347,0.5392689,1.6946323,0.53855944,1.6939842,0.53890306,1.693991,0.5383009,1.6940931,0.540089,1.6950793,0.53784
0.2323232323232323,1.6743115,-0.09458822,1.746343,0.49147213,1.7606052,0.5126367,1.7581451,0.5102881,1.7585092,0.51121706,1.7598736,0.5107308,1.7592052,0.5109742,1.7592219,0.5105268,1.7591244,0.5120698,1.7597389,0.5100924
0.2424242424242424,1.7310239,-0.1852929,1.8059491,0.4596889,1.8247948,0.4869184,1.8225379,0.48455125,1.8225942,0.4855091,1.8240728,0.4852574,1.8234295,0.48539144,1.8234586,0.4851203,1.8231512,0.486334,1.8234097,0.48472655
0.2525252525252525,1.7864995,-0.27569836,1.8638309,0.42921802,1.8877903,0.46303362,1.8860185,0.46097726,1.8857441,0.4618947,1.8872497,0.46187222,1.8866719,0.4618972,1.8867135,0.4618101,1.8861991,0.46264067,1.8861341,0.46146548
0.2626262626262626,1.8407476,-0.36593145,1.9199994,0.39985773,1.94957,0.440728,1.9485874,0.4393422,1.9479783,0.44016045,1.949429,0.4403495,1.9489499,0.4402688,1.9490057,0.44036067,1.9482921,0.4407827,1.9479579,0.44008124
0.2727272727272727,1.8937832,-0.45611447,1.9744707,0.37143958,2.0101159,0.41978043,2.010245,0.41944975,2.0093164,0.42011803,2.0106387,0.42049074,2.010283,0.42031318,2.0103524,0.42056978,2.00946,0.4205803,2.0089145,0.42036164
