0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
5.748774,4.3773594,3.887018,3.4809656,3.1380653,2.8443942,2.3697877,2.1769977,2.0080528,1.7284566,1.6123737,1.5091159,1.3340074,1.2592696,1.1915183,1.1298143,1.0733663,1.0215111,0.9736934,0.88836384,0.8501191,0.8144262,0.74974656,0.72036886,0.692744,0.64221907,0.61908436,0.59723306,0.5765767,0.557034,0.5385318,0.5210042,0.48862386,0.4736619,0.4594531,0.43310833,0.42089295,0.40926123,0.3876233,0.37755108,0.36793947,0.34998703,0.34160042,0.33357382,0.31852818,0.31147003,0.30469823,0.2919581,0.28595972,0.28019238,0.2693019,0.2641573,0.25919986,0.2544229,0.24981546,0.24537277,0.2410841,0.23294973,0.22909307,0.22536564,0.21828985,0.21493196,0.21168852,0.20552874,0.20260668,0.19978642,0.19443464,0.19190073,0.18945599,0.1848309,0.18264699,0.18054295,0.176579,0.1747117,0.1729207,0.16956043,0.16798663,0.1664834,0.16504645,0.16367865,0.16237283,0.1611352,0.15884113,0.15778303,0.1567874,0.15496421,0.15413618,0.15336204,0.151968,0.15134668,0.15077496,0.14977288,0.14934015,0.14895058,0.14830017,0.14803505,0.14781094,0.14747334,0.1473589,0.14727354
5.736433,4.3663325,3.8766408,3.4712288,3.1289515,2.8358831,2.362383,2.1700883,2.001594,1.722781,1.6070309,1.5040743,1.3294795,1.2549629,1.1874133,1.1258923,1.0696132,1.0179136,0.97024024,0.8851671,0.84704185,0.81145835,0.74698305,0.71769905,0.6901641,0.63980675,0.6167507,0.59497404,0.5743904,0.55491495,0.536479,0.51901484,0.48675346,0.47184706,0.45769024,0.43144846,0.4192791,0.4076953,0.38614225,0.37611175,0.3665383,0.34866,0.34030676,0.332314,0.3173306,0.31030083,0.3035593,0.29087162,0.28489828,0.27915335,0.26830912,0.26318455,0.25824904,0.25349092,0.2489028,0.24447632,0.24020743,0.2321055,0.22826147,0.2245512,0.2175026,0.21415806,0.21092558,0.20478892,0.20187855,0.19906783,0.1937375,0.19121265,0.18877792,0.18416834,0.18198967,0.17989588,0.1759448,0.17408371,0.17230034,0.16895056,0.16738367,0.16588545,0.16445303,0.1630907,0.16179085,0.16055489,0.15826988,0.15721893,0.15622568,0.1544087,0.15358329,0.15281248,0.15142441,0.15080786,0.15023708,0.14923978,0.14880943,0.14842224,0.14777637,0.14751363,0.14729214,0.14695835,0.14684534,0.14676213
5.724089,4.3553133,3.866271,3.4615,3.1198497,2.8273818,2.3549886,2.163187,1.9951471,1.7171125,1.601696,1.4990387,1.3249582,1.2506617,1.1833122,1.1219732,1.0658635,1.0143176,0.9667876,0.88197446,0.84396625,0.80849457,0.74422145,0.7150321,0.68758726,0.63739777,0.614419,0.5927172,0.57220364,0.5527985,0.53442836,0.5170274,0.4848845,0.47003484,0.45593214,0.42979193,0.41766882,0.4061303,0.3846643,0.37467337,0.36513853,0.34733438,0.3390162,0.33105564,0.3161342,0.30913448,0.3024211,0.28978634,0.28383803,0.27811742,0.26731682,0.26221466,0.25729895,0.25256062,0.24799204,0.24358368,0.23933029,0.23126078,0.22743297,0.22373629,0.21671724,0.21338534,0.21016502,0.20405221,0.20115209,0.1983521,0.19304037,0.19052505,0.18809843,0.18350506,0.1813364,0.17924881,0.17531157,0.1734581,0.17168069,0.16834259,0.16678095,0.1652875,0.16386175,0.16250181,0.16120791,0.15997648,0.15769958,0.15665388,0.15566206,0.15385485,0.15303206,0.1522646,0.15088224,0.1502676,0.1497016,0.14870787,0.14827967,0.14789629,0.14725447,0.14699364,0.14677286,0.1464436,0.14633226,0.14625072
5.7117558,4.3443,3.855914,3.4517837,3.110756,2.818891,2.3476028,2.1562967,1.9887061,1.711451,1.5963681,1.4940101,1.3204422,1.2463659,1.1792156,1.1180604,1.0621169,1.0107279,0.96334124,0.8787875,0.84089565,0.8055339,0.74146557,0.7123699,0.6850147,0.6349914,0.61209106,0.59046364,0.5700221,0.5506861,0.53238153,0.5150423,0.48301935,0.468225,0.4541757,0.42813587,0.41606164,0.40456867,0.38318706,0.3732381,0.36374235,0.34601045,0.3377266,0.32980013,0.3149395,0.3079703,0.3012843,0.28870296,0.28277922,0.27708292,0.26632738,0.26124597,0.25635052,0.2516322,0.24708176,0.242692,0.23845482,0.2304194,0.22660637,0.22292471,0.21593189,0.21261191,0.2094059,0.20331573,0.20042658,0.19763708,0.19234324,0.1898377,0.1874206,0.18284464,0.1806829,0.17860317,0.17467928,0.17283249,0.17106128,0.1677351,0.16617918,0.16469073,0.16327,0.16191578,0.16062546,0.15939856,0.15713167,0.15608788,0.15510201,0.15329933,0.15248156,0.15171719,0.15034127,0.14972925,0.14916515,0.14817858,0.14775348,0.14736962,0.14673185,0.14647436,0.14625502,0.14593029,0.1458211,0.14574099
5.69942,4.333295,3.845561,3.4420733,3.1016724,2.810411,2.3402276,2.149413,1.9822748,1.705798,1.5910469,1.4889874,1.3159322,1.242074,1.1751236,1.1141506,1.0583756,1.0071406,0.95989597,0.87560177,0.83782625,0.8025775,0.73871183,0.7097106,0.6824455,0.6325884,0.60976577,0.5882144,0.5678439,0.54857564,0.5303364,0.51306057,0.4811573,0.46641827,0.4524231,0.42648315,0.41445637,0.40300846,0.38171482,0.37180543,0.36234903,0.34468937,0.33643913,0.32854605,0.31374884,0.30680847,0.30014944,0.28762102,0.28172207,0.2760501,0.26533914,0.26027918,0.2554047,0.25070596,0.24617338,0.24180055,0.23758245,0.22957802,0.22577953,0.2221129,0.21514654,0.21183968,0.20864534,0.20257926,0.19970202,0.1969223,0.19165039,0.18915224,0.18674326,0.18218517,0.1800313,0.17795801,0.17404842,0.17220974,0.17044401,0.1671288,0.16557837,0.16409492,0.16267967,0.16133022,0.16004562,0.15882254,0.15656304,0.1555233,0.15454149,0.15274644,0.15193272,0.15117073,0.14980125,0.1491909,0.14862919,0.1476469,0.14722395,0.14684439,0.14621115,0.14595461,0.14573765,0.1454165,0.14530945,0.14523077
5.687089,4.322297,3.8352194,3.4323761,3.0926008,2.8019412,2.3328633,2.142541,1.9758521,1.7001519,1.5857311,1.4839717,1.3114257,1.2377893,1.171038,1.1102477,1.0546381,1.0035586,0.95645726,0.8724203,0.8347633,0.799623,0.73596144,0.7070532,0.67987823,0.6301892,0.6074438,0.58596563,0.5656667,0.5464678,0.52829504,0.5110824,0.47929668,0.46461272,0.4506712,0.42483306,0.41285515,0.4014516,0.3802426,0.37037325,0.36095667,0.3433714,0.33515406,0.32729387,0.3125596,0.30564737,0.2990167,0.2865405,0.2806673,0.2750187,0.26435304,0.25931406,0.25445843,0.24978018,0.24526644,0.24091268,0.23671079,0.22873783,0.22495604,0.22130251,0.21436453,0.21107149,0.20788813,0.20184565,0.19897795,0.19620848,0.19095635,0.18846822,0.18606734,0.18152642,0.17937946,0.17731428,0.17341852,0.17158556,0.16982555,0.16652393,0.16497898,0.1634996,0.1620903,0.1607449,0.15946555,0.15824747,0.15599585,0.1549592,0.15398169,0.1521945,0.15138245,0.15062332,0.149261,0.1486535,0.14809561,0.14711666,0.1466968,0.14631844,0.14569044,0.14543629,0.14522195,0.14490461,0.14479828,0.14472151
5.662435,4.3003254,3.8145633,3.4130085,3.0744877,2.7850332,2.3181612,2.1288233,1.9630334,1.6888818,1.5751245,1.4739577,1.3024305,1.2292306,1.1628797,1.1024522,1.0471776,0.99640536,0.9495909,0.86606956,0.8286469,0.7937255,0.7304716,0.70175123,0.6747546,0.6253977,0.60280967,0.581481,0.56132483,0.5422611,0.52422094,0.507133,0.47558355,0.46101236,0.4471774,0.42154074,0.40965605,0.3983457,0.37730646,0.36751795,0.35817742,0.34073782,0.33258963,0.3247962,0.31018376,0.30333138,0.29675722,0.2843864,0.27856207,0.27296162,0.26238537,0.25738811,0.25257397,0.24793243,0.24345636,0.2391386,0.23497033,0.22706318,0.22331023,0.21968651,0.21280289,0.20953512,0.20637798,0.20038033,0.19753408,0.19478536,0.18957281,0.18710327,0.18471956,0.18020964,0.17808008,0.17602873,0.17216182,0.17034149,0.16859245,0.16531515,0.16378117,0.16231418,0.16091347,0.15957785,0.15830612,0.15709782,0.15486383,0.15383554,0.15286446,0.15109015,0.15028524,0.1495328,0.14818144,0.1475811,0.14702702,0.14605999,0.14564419,0.1452713,0.14464903,0.14440107,0.14418936,0.14387894,0.14377642,0.14370441
5.6501126,4.289349,3.8042464,3.4033384,3.065447,2.7765932,2.3108263,2.1219776,1.9566362,1.683257,1.5698296,1.4689604,1.2979407,1.22496,1.1588063,1.0985615,1.0434546,0.99283457,0.946164,0.8628998,0.8255944,0.7907834,0.727731,0.69910526,0.67219734,0.62300706,0.60049677,0.5792415,0.5591574,0.54016304,0.5221877,0.5051625,0.47373176,0.45921564,0.44543457,0.41989732,0.4080603,0.39679527,0.3758433,0.36609268,0.3567934,0.33942485,0.33131218,0.32355022,0.30900097,0.30217648,0.29562998,0.28331232,0.2775116,0.27193475,0.26140356,0.25642776,0.2516327,0.24701118,0.24255419,0.23825383,0.23410225,0.22622728,0.22249079,0.21888065,0.21202421,0.20876884,0.20562387,0.19964933,0.19681334,0.19407701,0.18888068,0.18641996,0.1840465,0.17955399,0.17743134,0.17538786,0.17153406,0.1697197,0.16797876,0.16471243,0.16318226,0.1617217,0.160326,0.15899515,0.15772915,0.15652418,0.15429807,0.15327358,0.15230727,0.15053988,0.1497376,0.1489892,0.14764309,0.14704466,0.1464932,0.14553165,0.14511824,0.14474678,0.14413166,0.14388466,0.1436739,0.14336681,0.14326715,0.1431961
5.6377964,4.27838,3.7939415,3.3936813,3.0564158,2.768165,2.3034997,2.1151419,1.9502473,1.6776401,1.5645422,1.463968,1.2934566,1.2206944,1.1547383,1.0946753,1.0397328,0.98926926,0.9427397,0.8597331,0.8225441,0.7878432,0.7249942,0.6964617,0.6696429,0.6206198,0.59818697,0.5770066,0.5569935,0.53806734,0.5201578,0.503196,0.47188187,0.45742226,0.44369388,0.41825676,0.40646696,0.39524674,0.37438083,0.36467147,0.35540867,0.3381133,0.33003473,0.32230568,0.3078177,0.3010211,0.29450512,0.28223896,0.2764635,0.2709105,0.26042366,0.25546908,0.25069427,0.24609137,0.24165201,0.23737049,0.23323655,0.22539377,0.22167015,0.21807623,0.21124601,0.20800495,0.20486999,0.19891882,0.19609547,0.19336843,0.18819237,0.18574047,0.18337584,0.17889929,0.17678308,0.1747477,0.17090893,0.16910076,0.16736627,0.16411042,0.16258621,0.16112971,0.15974069,0.15841389,0.15715122,0.15595102,0.15373325,0.15271235,0.15175009,0.14999056,0.14919066,0.14844513,0.14710546,0.14651012,0.145962,0.14500427,0.14459205,0.14422464,0.1436131,0.14336681,0.14315891,0.1428566,0.14275765,0.14268851
5.6131706,4.2564726,3.773356,3.3743927,3.0383859,2.7513404,2.2888758,2.1014977,1.9374971,1.6664296,1.5539879,1.4540055,1.2845058,1.2121773,1.1466186,1.086916,1.032308,0.9821501,0.93590486,0.8534107,0.8164549,0.78197527,0.7195313,0.6911864,0.6645453,0.61585426,0.59357595,0.57254505,0.5526743,0.5338845,0.5161047,0.49926805,0.4681902,0.45384216,0.4402194,0.4149835,0.4032886,0.39215922,0.37146187,0.3618343,0.35264707,0.33549738,0.3274877,0.31982398,0.3054595,0.2987218,0.29225874,0.2800982,0.27437115,0.2688663,0.2584672,0.25355434,0.24882126,0.24425673,0.23985481,0.23560762,0.23150873,0.22372746,0.22003603,0.21646905,0.20969391,0.20647812,0.20336819,0.19746304,0.19465876,0.19195223,0.18681669,0.18438339,0.18203497,0.17759037,0.17549133,0.17346954,0.1696577,0.16786289,0.16614056,0.1629076,0.16139603,0.15994883,0.15856862,0.15725255,0.1559999,0.15480757,0.15260673,0.15159416,0.1506381,0.14889145,0.1480999,0.14735937,0.14603114,0.1454413,0.14489889,0.14395046,0.1435442,0.1431818,0.14257717,0.14233541,0.1421318,0.14183617,0.14174056,0.14167595
